Unique,Name,Value,Category,Silver,Time,Focus,Return
T1_WOOD,Rough Logs,,,,,,
T2_WOOD,Birch Logs,2.0,,,,,
T3_WOOD,Chestnut Logs,2.0,,,,,
T4_WOOD,Pine Logs,4.0,,,,,
T5_WOOD,Cedar Logs,5.0,,,,,
T6_WOOD,Bloodoak Logs,8.0,,,,,
T7_WOOD,Ashenbark Logs,12.0,,,,,
T8_WOOD,Whitewood Logs,25.0,,,,,
T1_ROCK,Rough Stone,,,,,,
T2_ROCK,Limestone,2.0,,,,,
T3_ROCK,Sandstone,2.0,,,,,
T4_ROCK,Travertine,4.0,,,,,
T5_ROCK,Granite,5.0,,,,,
T6_ROCK,Slate,8.0,,,,,
T7_ROCK,Basalt,12.0,,,,,
T8_ROCK,Marble,25.0,,,,,
T2_ORE,Copper Ore,2.0,,,,,
T3_ORE,Tin Ore,2.0,,,,,
T4_ORE,Iron Ore,4.0,,,,,
T5_ORE,Titanium Ore,5.0,,,,,
T6_ORE,Runite Ore,8.0,,,,,
T7_ORE,Meteorite Ore,12.0,,,,,
T8_ORE,Adamantium Ore,25.0,,,,,
T1_HIDE,Scraps of Hide,,,,,,
T2_HIDE,Rugged Hide,2.0,,,,,
T3_HIDE,Thin Hide,2.0,,,,,
T4_HIDE,Medium Hide,4.0,,,,,
T5_HIDE,Heavy Hide,5.0,,,,,
T6_HIDE,Robust Hide,8.0,,,,,
T7_HIDE,Thick Hide,12.0,,,,,
T8_HIDE,Resilient Hide,25.0,,,,,
T2_FIBER,Cotton,2.0,,,,,
T3_FIBER,Flax,2.0,,,,,
T4_FIBER,Hemp,4.0,,,,,
T5_FIBER,Skyflower,5.0,,,,,
T6_FIBER,Redleaf Cotton,8.0,,,,,
T7_FIBER,Sunflax,12.0,,,,,
T8_FIBER,Ghost Hemp,25.0,,,,,
T2_PLANKS,Birch Planks,2.0,wood,0.0,0.02083,10.0,1.0
T3_PLANKS,Chestnut Planks,6.0,wood,0.0,0.03125,24.0,1.0
T4_PLANKS,Pine Planks,14.0,wood,0.0,0.04167,48.0,1.0
T4_PLANKS,Pine Planks,14.0,wood,0.0,0.04167,48.0,1.0
T5_PLANKS,Cedar Planks,30.0,wood,0.0,0.0625,89.0,1.0
T5_PLANKS,Cedar Planks,30.0,wood,0.0,0.0625,89.0,1.0
T6_PLANKS,Bloodoak Planks,62.0,wood,0.0,0.08333,160.0,1.0
T6_PLANKS,Bloodoak Planks,62.0,wood,0.0,0.08333,160.0,1.0
T7_PLANKS,Ashenbark Planks,126.0,wood,0.0,0.10417,284.0,1.0
T7_PLANKS,Ashenbark Planks,126.0,wood,0.0,0.10417,284.0,1.0
T8_PLANKS,Whitewood Planks,254.0,wood,0.0,0.15625,500.0,1.0
T8_PLANKS,Whitewood Planks,254.0,wood,0.0,0.15625,500.0,1.0
T2_STONEBLOCK,Limestone Block,2.0,rock,0.0,0.02083,10.0,1.0
T3_STONEBLOCK,Sandstone Block,6.0,rock,0.0,0.03125,24.0,1.0
T4_STONEBLOCK,Travertine Block,14.0,rock,0.0,0.04167,48.0,1.0
T4_STONEBLOCK,Travertine Block,14.0,rock,0.0,0.08334,48.0,2.0
T4_STONEBLOCK,Travertine Block,14.0,rock,0.0,0.16668,48.0,4.0
T4_STONEBLOCK,Travertine Block,14.0,rock,0.0,0.33336,48.0,8.0
T4_STONEBLOCK,Travertine Block,14.0,rock,0.0,0.04167,48.0,1.0
T5_STONEBLOCK,Granite Block,30.0,rock,0.0,0.0625,89.0,1.0
T5_STONEBLOCK,Granite Block,30.0,rock,0.0,0.125,89.0,2.0
T5_STONEBLOCK,Granite Block,30.0,rock,0.0,0.25,89.0,4.0
